,Country,Alcoholic Beverages (fat),Animal Products (fat),Animal fats (fat),"Aquatic Products, Other (fat)",Cereals - Excluding Beer (fat),Eggs (fat),"Fish, Seafood (fat)",Fruits - Excluding Wine (fat),Meat (fat),Miscellaneous (fat),Milk - Excluding Butter (fat),Offals (fat),Oilcrops (fat),Pulses (fat),Spices (fat),Starchy Roots (fat),Stimulants (fat),Sugar Crops (fat),Sugar & Sweeteners (fat),Treenuts (fat),Vegetal Products (fat),Vegetable Oils (fat),Vegetables (fat),Obesity (fat),Undernourished (fat),Confirmed (fat),Deaths (fat),Recovered (fat),Active (fat),Population (fat),Unit (all except Population) (fat),Alcoholic Beverages (kcal),Animal Products (kcal),Animal fats (kcal),"Aquatic Products, Other (kcal)",Cereals - Excluding Beer (kcal),Eggs (kcal),"Fish, Seafood (kcal)",Fruits - Excluding Wine (kcal),Meat (kcal),Milk - Excluding Butter (kcal),Miscellaneous (kcal),Offals (kcal),Oilcrops (kcal),Pulses (kcal),Spices (kcal),Starchy Roots (kcal),Stimulants (kcal),Sugar Crops (kcal),Sugar & Sweeteners (kcal),Treenuts (kcal),Vegetal Products (kcal),Vegetable Oils (kcal),Vegetables (kcal),Obesity (kcal),Undernourished (kcal),Confirmed (kcal),Deaths (kcal),Recovered (kcal),Active (kcal),Population (kcal),Unit (all except Population) (kcal),Alcoholic Beverages (protein),Animal Products (protein),Animal fats (protein),"Aquatic Products, Other (protein)",Cereals - Excluding Beer (protein),Eggs (protein),"Fish, Seafood (protein)",Fruits - Excluding Wine (protein),Meat (protein),Milk - Excluding Butter (protein),Offals (protein),Oilcrops (protein),Pulses (protein),Spices (protein),Starchy Roots (protein),Stimulants (protein),Sugar Crops (protein),Sugar & Sweeteners (protein),Treenuts (protein),Vegetal Products (protein),Vegetable Oils (protein),Vegetables (protein),Miscellaneous (protein),Obesity (protein),Undernourished (protein),Confirmed (protein),Deaths (protein),Recovered (protein),Active (protein),Population (protein),Unit (all except Population) (protein)
0,Afghanistan,0.0,21.6397,6.2224,0.0,8.0353,0.6859,0.0327,0.4246,6.1244,0.0163,8.2803,0.3103,1.0452,0.196,0.2776,0.049,0.098,0.0,0.0,0.7513,28.3684,17.0831,0.3593,4.5,29.8,0.142134196465269,0.0061857788738183,0.12337392108508,0.0125744965063707,38928000.0,%,0.0,4.7774,0.8504,0.0,37.1186,0.1501,0.0,1.4757,1.2006,2.4512,0.025,0.1251,0.1751,0.5003,0.1001,0.3252,0.075,0.0,2.2261,0.1251,45.2476,2.3012,0.7504,4.5,29.8,0.142134196465269,0.0061857788738183,0.12337392108508,0.0125744965063707,38928000.0,%,0.0,9.7523,0.0277,0.0,35.9771,0.4067,0.0647,0.5824,3.1337,5.5278,0.5916,0.2034,1.2479,0.1664,0.1941,0.5546,0.0,0.0,0.1387,40.2477,0.0,1.137,0.0462,4.5,29.8,0.142134196465269,0.0061857788738183,0.12337392108508,0.0125744965063707,38928000.0,%
1,Albania,0.0,32.0002,3.4172,0.0,2.6734,1.6448,0.1445,0.6418,8.7428,0.017,17.7576,0.2933,3.1622,0.1148,0.0,0.051,0.527,0.0,0.0,0.9181,17.9998,9.2443,0.6503,22.3,6.2,2.96730091613813,0.0509513742071882,1.79263565891473,1.12371388301621,2838000.0,%,0.912,16.093,1.0591,0.0,16.2107,0.8091,0.1471,3.8982,3.8688,9.9441,0.0588,0.2648,1.0886,0.8091,0.0,1.2651,0.2501,0.0,3.4422,0.3972,33.907,2.8244,2.7508,22.3,6.2,2.96730091613813,0.0509513742071882,1.79263565891473,1.12371388301621,2838000.0,%,0.184,27.7469,0.0711,0.0,14.2331,1.8069,0.6274,1.2757,7.6582,16.475,1.1084,0.3722,1.4555,0.0,0.8867,0.2635,0.0,0.0042,0.2677,22.2552,0.0084,3.2456,0.0544,22.3,6.2,2.96730091613813,0.0509513742071882,1.79263565891473,1.12371388301621,2838000.0,%
2,Algeria,0.0,14.4175,0.8972,0.0,4.2035,1.2171,0.2008,0.5772,3.8961,0.0439,8.0934,0.1067,1.1983,0.2698,0.1568,0.1129,0.2886,0.0,0.0,0.8595,35.5857,27.3606,0.5145,26.6,3.9,0.244897085014767,0.0065581531663548,0.167572198300156,0.0707667335482562,44357000.0,%,0.0896,6.0326,0.1941,0.0,25.0112,0.4181,0.1195,3.1805,1.2543,3.9869,0.1045,0.0597,0.2688,1.09,0.1195,1.9262,0.1493,0.0,3.9869,0.224,43.9749,5.7638,2.0457,26.6,3.9,0.244897085014767,0.0065581531663548,0.167572198300156,0.0707667335482562,44357000.0,%,0.0323,13.836,0.0054,0.0,26.5633,1.2916,0.635,1.1624,3.5088,8.0616,0.3283,0.183,2.5509,0.1776,1.4638,0.4628,0.0,0.0,0.2745,36.1694,0.0269,3.1267,0.1399,26.6,3.9,0.244897085014767,0.0065581531663548,0.167572198300156,0.0707667335482562,44357000.0,%
3,Angola,0.0,15.3041,1.313,0.0,6.5545,0.1539,1.4155,0.3488,11.0268,0.0308,1.2309,0.1539,3.9902,0.3282,0.0103,0.7078,0.1128,0.0,0.0,0.0308,34.701,22.4638,0.1231,6.8,25,0.0616874730951356,0.0014605497816862,0.0568076994034807,0.0034192239099686,32522000.0,%,1.9388,4.6927,0.2644,0.0,18.3521,0.0441,0.8372,2.3133,2.9302,0.5067,0.0661,0.1102,1.0795,1.4981,0.0,12.6239,0.0441,0.0,2.7539,0.0,45.3184,4.2741,0.3525,6.8,25,0.0616874730951356,0.0014605497816862,0.0568076994034807,0.0034192239099686,32522000.0,%,0.6285,15.2311,0.0277,0.0,20.3882,0.1756,5.4436,1.2754,7.6248,1.146,0.8133,2.1534,4.085,0.0,5.1941,0.1017,0.0,0.0092,0.0092,34.7782,0.0092,0.8133,0.0924,6.8,25,0.0616874730951356,0.0014605497816862,0.0568076994034807,0.0034192239099686,32522000.0,%
4,Antigua and Barbuda,0.0,27.7033,4.6686,0.0,3.2153,0.3872,1.5263,1.2177,14.3202,0.0898,6.6607,0.1347,1.3579,0.0673,0.3591,0.0449,1.0549,0.0,0.0,0.202,22.2995,14.4436,0.2469,19.1,,0.293877551020408,0.0071428571428571,0.190816326530612,0.0959183673469388,98000.0,%,2.3041,15.3672,1.5429,0.0,13.7215,0.2057,1.728,3.6824,7.0356,4.6904,0.3086,0.1646,0.5966,0.4526,0.3497,0.8434,0.4937,0.0,5.8218,0.0823,34.6225,4.6904,1.296,19.1,,0.293877551020408,0.0071428571428571,0.190816326530612,0.0959183673469388,98000.0,%,0.1535,33.1901,0.1289,0.0,10.5108,0.485,8.2146,1.2586,16.067,7.4349,0.8534,0.7674,0.8841,0.3438,0.4666,0.4113,0.0,0.0,0.0737,16.8161,0.043,1.6024,0.2947,19.1,,0.293877551020408,0.0071428571428571,0.190816326530612,0.0959183673469388,98000.0,%
5,Argentina,0.0,30.3572,3.3076,0.0,1.3316,1.5706,0.1664,0.2091,19.2693,0.0,5.8512,0.1878,0.064,0.0213,0.0213,0.111,0.2475,0.0,0.0,0.1366,19.6449,17.3147,0.1878,28.5,4.6,4.35614738744298,0.108226634638694,3.90519205765035,0.342728695153933,45377000.0,%,1.4354,14.9869,1.065,0.0,16.7927,0.8643,0.2006,1.4663,9.4459,3.1641,0.0,0.2624,0.0309,0.1235,0.0309,1.4045,0.2315,0.0,7.0536,0.0463,34.99,5.541,0.8643,28.5,4.6,4.35614738744298,0.108226634638694,3.90519205765035,0.342728695153933,45377000.0,%,0.1704,31.9799,0.0097,0.0,13.6702,2.0593,1.0223,0.5209,21.625,5.8322,1.4313,0.0097,0.2434,0.0292,1.3096,0.9688,0.0,0.0049,0.0438,18.0176,0.0,1.0516,0.0,28.5,4.6,4.35614738744298,0.108226634638694,3.90519205765035,0.342728695153933,45377000.0,%
6,Armenia,0.0,29.6642,6.2619,0.0,2.5068,1.6196,0.2218,0.5468,10.8165,0.0361,10.4709,0.2734,0.6602,0.0774,0.0103,0.0567,1.8002,0.0,0.0,0.9542,20.3384,12.8127,0.8717,20.9,4.3,5.68122462787551,0.105345060893099,5.3984100135318,0.177469553450609,2956000.0,%,0.2274,12.833,1.7706,0.0,19.2658,0.731,0.1787,2.5341,4.2235,5.6368,0.1137,0.2924,0.2274,0.4386,0.0162,1.2508,0.6985,0.0,5.2956,0.3086,37.167,3.5737,3.2164,20.9,4.3,5.68122462787551,0.105345060893099,5.3984100135318,0.177469553450609,2956000.0,%,0.0411,22.8846,0.1438,0.0,18.2738,1.756,0.8831,1.1142,8.5233,10.038,1.5404,0.2619,0.9191,0.0154,0.9191,0.5545,0.0,0.0051,0.2208,27.1154,0.0205,4.6621,0.1078,20.9,4.3,5.68122462787551,0.105345060893099,5.3984100135318,0.177469553450609,2956000.0,%
7,Australia,0.0,24.1099,4.603,0.0,0.9908,0.7017,0.4515,0.4028,11.6002,0.052,6.5196,0.2339,1.2929,0.026,0.1007,0.0422,0.7926,0.0,0.0,1.6145,25.8901,20.3612,0.2144,30.4,<2.5,0.112025316455696,0.0035295488079521,0.101289120136678,0.0072066475110662,25754000.0,%,1.9783,15.6146,1.9027,0.0,11.643,0.4681,0.604,1.6611,7.4902,4.8022,0.2114,0.3473,0.6645,0.1359,0.1057,1.3138,0.5134,0.0,5.7989,0.8457,34.3854,8.3812,1.1326,30.4,<2.5,0.112025316455696,0.0035295488079521,0.101289120136678,0.0072066475110662,25754000.0,%,0.2914,32.9787,0.074,0.0046,10.9343,1.0916,2.8585,0.518,18.8298,8.432,1.6929,0.6984,0.2683,0.1203,0.9944,0.7031,0.0,0.0,0.7724,17.0213,0.0463,1.4524,0.2174,30.4,<2.5,0.112025316455696,0.0035295488079521,0.101289120136678,0.0072066475110662,25754000.0,%
8,Austria,0.0,27.8268,12.8517,0.0,1.2297,1.2147,0.4259,0.2249,8.1099,0.0,5.1497,0.075,1.1367,0.012,0.102,0.045,0.4439,0.0,0.0,0.8398,22.1762,17.9323,0.2039,21.9,<2.5,4.73998205070675,0.0896791563832174,4.49687009199013,0.153432802333408,8914000.0,%,2.8161,15.6106,5.2532,0.0,12.3748,0.7853,0.4062,1.5976,5.0095,4.0482,0.0,0.1083,0.6905,0.1083,0.1083,1.4622,0.3656,0.0,6.2551,0.4197,34.3894,7.1622,1.029,21.9,<2.5,4.73998205070675,0.0896791563832174,4.49687009199013,0.153432802333408,8914000.0,%,0.615,30.0009,0.3376,0.0,13.1508,2.1456,1.8358,0.6242,13.6549,11.4954,0.5318,1.5028,0.2405,0.1341,1.045,0.726,0.0,0.0139,0.3561,19.9991,0.0647,1.5259,0.0,21.9,<2.5,4.73998205070675,0.0896791563832174,4.49687009199013,0.153432802333408,8914000.0,%
9,Azerbaijan,0.0,32.1198,7.7987,0.0,5.4481,2.0197,0.2122,0.594,11.9993,0.017,9.9202,0.1612,0.1867,0.0255,0.017,0.1697,1.3663,0.0,0.0,2.2573,17.8802,7.1538,0.6534,19.9,<2.5,2.28553620894341,0.0312227938266719,2.22557380292837,0.0287396121883657,10108000.0,%,2.2555,8.1682,1.305,0.0,28.7417,0.5478,0.0967,1.6111,2.9322,3.1738,0.0322,0.1128,0.0483,0.0806,0.0161,2.2072,0.3061,0.0,3.4155,0.4511,41.8237,1.2083,1.4661,19.9,<2.5,2.28553620894341,0.0312227938266719,2.22557380292837,0.0287396121883657,10108000.0,%,0.3465,16.3039,0.0596,0.0,28.2218,1.4078,0.4873,0.5631,6.8551,6.8497,0.6444,0.0541,0.1787,0.0108,1.7652,0.2328,0.0,0.0,0.3411,33.7015,0.0217,1.9114,0.0433,19.9,<2.5,2.28553620894341,0.0312227938266719,2.22557380292837,0.0287396121883657,10108000.0,%
10,Bahamas,0.0,30.2259,4.56,0.0,3.6327,1.2829,1.4991,0.8995,17.4941,0.3556,5.1318,0.258,2.6077,0.0209,0.2719,0.0349,0.9343,0.0,0.0,0.4532,19.7741,10.1659,0.3974,32.1,,2.10076335877863,0.0447837150127227,1.73511450381679,0.320865139949109,393000.0,%,2.9145,14.793,1.4205,0.0,10.7274,0.6613,1.2491,4.4575,8.1803,2.988,1.0776,0.2694,1.0287,0.1225,0.2204,0.7103,0.4164,0.0,8.6701,0.1714,35.2437,3.1594,1.5185,32.1,,2.10076335877863,0.0447837150127227,1.73511450381679,0.320865139949109,393000.0,%,0.0325,34.1684,0.0895,0.0,7.8081,1.6755,5.734,1.8788,20.4311,4.8312,1.4152,0.8052,0.2765,0.244,0.366,0.4311,0.0,0.0,0.1464,15.8276,0.0325,2.6759,1.1305,32.1,,2.10076335877863,0.0447837150127227,1.73511450381679,0.320865139949109,393000.0,%
11,Bangladesh,0.0,9.8365,1.2369,0.0,6.9946,1.2664,2.1646,0.427,1.8407,0.0147,3.2249,0.1178,0.6332,0.5448,1.0602,0.2209,0.0295,0.0147,0.0,0.2651,40.1561,29.6422,0.3092,3.4,14.7,0.316691105889558,0.0048230659152341,0.284343586029009,0.027524453945315,169809000.0,%,0.0,2.3695,0.1541,0.0,37.5265,0.2312,0.8284,0.655,0.3468,0.7706,0.0193,0.0385,0.1348,1.2329,0.5009,1.9264,0.0193,0.0193,1.4255,0.1156,47.6401,3.429,0.6165,3.4,14.7,0.316691105889558,0.0048230659152341,0.284343586029009,0.027524453945315,169809000.0,%,0.0,9.9195,0.0083,0.0,31.7243,0.7216,5.8306,0.3069,1.2773,1.8578,0.2239,0.5972,3.2512,0.7465,1.9574,0.1161,0.0083,0.0332,0.1078,40.0846,0.0,1.2026,0.0249,3.4,14.7,0.316691105889558,0.0048230659152341,0.284343586029009,0.027524453945315,169809000.0,%
12,Barbados,0.0,25.8451,3.9733,0.0,2.1187,1.213,1.806,0.4636,13.1382,0.3235,5.6176,0.097,3.2616,0.2318,0.3181,0.1078,0.6038,0.0,0.0,0.7817,24.1576,15.6882,0.2534,24.8,3.9,0.58397212543554,0.0062717770034843,0.470034843205575,0.107665505226481,287000.0,%,1.1224,12.0877,1.157,0.0,15.3514,0.5871,1.416,1.934,5.664,3.1428,0.8979,0.1036,1.1915,1.2606,0.2936,1.7095,0.2936,0.0,8.0815,0.2763,37.9209,4.4552,1.0534,24.8,3.9,0.58397212543554,0.0062717770034843,0.470034843205575,0.107665505226481,287000.0,%,0.1344,28.2153,0.112,0.0,12.3067,1.4508,6.6939,0.689,13.9872,5.3944,0.5826,1.2324,2.6608,0.3137,1.4228,0.3585,0.0,0.0,0.2465,21.7791,0.028,1.4844,0.9075,24.8,3.9,0.58397212543554,0.0062717770034843,0.470034843205575,0.107665505226481,287000.0,%
13,Belarus,0.0,23.8181,7.8662,0.0,4.8075,1.5772,0.5151,0.2316,11.5636,0.0519,2.0644,0.2316,0.4392,0.0,0.016,0.1957,0.8385,0.0,0.0,1.0462,26.1859,18.2119,0.3394,26.6,<2.5,2.740896,0.018912,2.612704,0.10928,9375000.0,%,3.2979,12.2644,2.6748,0.0,14.2705,0.8511,0.4863,1.3982,5.7143,2.1884,0.1672,0.3495,0.228,0.0,0.0152,4.9848,0.3951,0.0,4.6049,0.4255,37.7204,6.1246,1.8389,26.6,<2.5,2.740896,0.018912,2.612704,0.10928,9375000.0,%,0.3401,27.0935,0.1328,0.0,13.7248,2.2901,2.4548,0.441,14.2402,6.0202,1.9554,0.5207,0.0053,0.0213,4.1552,0.3029,0.0,0.0,0.3454,22.9065,0.0213,2.8587,0.17,26.6,<2.5,2.740896,0.018912,2.612704,0.10928,9375000.0,%
14,Belgium,0.0,26.7378,12.6234,0.0,1.3531,1.1703,0.6188,0.2373,5.6817,0.0,6.5057,0.1379,0.5226,0.0353,0.0994,0.077,0.0834,0.0,0.0,1.2056,23.2622,19.3504,0.2982,24.5,<2.5,6.28632218844985,0.185427702996092,0.0,6.10089448545376,11515000.0,%,2.3089,14.1587,4.7771,0.0,13.0441,0.69,0.5971,1.38,3.2776,4.6311,0.0,0.1858,0.2389,0.2919,0.0929,2.1895,0.1194,0.0,6.8073,0.5573,35.8413,7.0727,1.7383,24.5,<2.5,6.28632218844985,0.185427702996092,0.0,6.10089448545376,11515000.0,%,0.5466,28.4976,0.4678,0.0,13.7687,1.9599,2.999,0.6156,10.0507,11.9121,1.0981,0.2216,0.6993,0.1182,1.9304,0.4235,0.0,0.0049,0.5417,21.5098,0.1133,2.5213,0.0,24.5,<2.5,6.28632218844985,0.185427702996092,0.0,6.10089448545376,11515000.0,%
15,Belize,0.0,23.7877,9.8102,0.0,3.051,0.6759,0.4155,0.3039,10.3435,0.1984,2.5053,0.031,1.4511,0.3783,0.0496,0.031,0.8062,0.0,0.0,0.3845,26.2123,19.3538,0.2108,22.4,7.5,2.8727923627685,0.0730310262529833,2.73961813842482,0.0601431980906921,419000.0,%,1.5199,9.1752,2.6135,0.0,18.9064,0.2966,0.3707,2.5209,3.9481,1.8906,0.519,0.0371,0.6117,2.2799,0.0371,0.5005,0.2966,0.0,7.6367,0.1297,40.8526,5.1158,0.7414,22.4,7.5,2.8727923627685,0.0730310262529833,2.73961813842482,0.0601431980906921,419000.0,%,0.201,18.9431,0.0893,0.0,18.6156,0.9378,2.3074,1.5035,10.748,4.5999,0.2531,1.7864,5.9918,0.0521,0.4094,0.2903,0.0,0.0,0.1265,31.0607,0.0372,1.3844,0.6624,22.4,7.5,2.8727923627685,0.0730310262529833,2.73961813842482,0.0601431980906921,419000.0,%
16,Benin,0.0,6.1742,0.4816,0.0,4.6952,0.2064,0.8599,0.1978,3.2849,0.0258,1.2469,0.0946,7.3007,0.6535,2.597,1.0835,0.1118,0.0,0.0,1.9176,43.8301,24.8775,0.3612,8.2,10.1,0.0343435170775657,0.0004504873454009,0.0291833893029732,0.0047096404291915,12209000.0,%,1.7604,2.4864,0.0907,0.0,18.4755,0.0544,0.5263,0.7623,1.1978,0.5263,0.0544,0.0726,1.8693,1.6515,1.0163,14.4646,0.0181,0.0,1.4338,0.5082,47.5318,4.6461,0.853,8.2,10.1,0.0343435170775657,0.0004504873454009,0.0291833893029732,0.0047096404291915,12209000.0,%,0.7448,11.1646,0.0078,0.0,18.3955,0.225,3.6853,0.3491,5.6948,1.094,0.45,3.2508,4.275,1.6293,7.7818,0.0233,0.0,0.0,0.5741,38.8393,0.0,1.7457,0.0698,8.2,10.1,0.0343435170775657,0.0004504873454009,0.0291833893029732,0.0047096404291915,12209000.0,%
17,Bolivia,0.0,30.4177,4.1685,0.0,2.7296,1.5174,0.1831,0.5407,21.1476,0.0436,3.2703,0.1395,1.3604,0.2093,0.1483,0.4796,0.7849,0.0,0.0,0.7413,19.5779,12.3485,0.1919,18.7,17.1,1.95244562881458,0.0924353133327602,1.43861428694232,0.4213960285395,11633000.0,%,0.7859,10.0255,0.9133,0.0,21.644,0.5523,0.1062,2.4214,6.7545,1.6355,0.1274,0.085,0.4036,0.9133,0.085,3.5472,0.2761,0.0,5.6924,0.7859,39.9533,2.6551,0.6372,18.7,17.1,1.95244562881458,0.0924353133327602,1.43861428694232,0.4213960285395,11633000.0,%,0.1826,22.6898,0.0219,0.0,18.0364,1.461,0.5552,0.9131,17.0794,3.2143,0.3506,0.5114,2.0747,0.1023,3.4772,0.4894,0.0,0.0,0.431,27.3139,0.0146,0.9204,0.1607,18.7,17.1,1.95244562881458,0.0924353133327602,1.43861428694232,0.4213960285395,11633000.0,%
18,Bosnia and Herzegovina,0.0,24.6478,2.4453,0.0,3.6588,0.8354,0.3049,0.5976,9.6957,0.0915,11.2629,0.1037,0.9208,0.2012,2.2196,0.1342,2.4819,0.0,0.0,0.9574,25.3552,13.2996,0.7866,19.4,<2.5,3.76208473026516,0.145534897896983,2.96031697653155,0.656232855836635,3281000.0,%,3.8856,9.0561,0.5507,0.0,21.233,0.2907,0.1836,1.8969,3.0289,4.8799,0.1989,0.1071,0.306,0.7802,1.0402,2.264,0.8414,0.0,3.0289,0.2601,40.9515,2.9524,2.264,19.4,<2.5,3.76208473026516,0.145534897896983,2.96031697653155,0.656232855836635,3281000.0,%,0.5332,18.3339,0.0633,0.0,19.2578,0.7918,0.8341,0.7338,6.7096,9.3808,0.5543,0.6863,1.6998,1.3461,1.8582,0.9449,0.0,0.0053,0.2059,31.6634,0.0158,4.1651,0.2164,19.4,<2.5,3.76208473026516,0.145534897896983,2.96031697653155,0.656232855836635,3281000.0,%
19,Botswana,0.0,16.9634,4.131,0.0,7.183,0.2697,0.3622,0.1696,3.4759,0.1927,8.5241,0.2081,1.1715,0.1156,0.5472,0.1927,0.7399,0.0,0.0,0.1541,33.0328,22.3815,0.185,16.1,26.4,1.01437203280104,0.0070349589987052,0.844799309451877,0.162537764350453,2317000.0,%,1.5598,8.1197,1.047,0.0,22.3932,0.1068,0.1923,1.0256,1.8803,4.6795,0.4487,0.2137,0.4915,0.5769,0.3419,2.6709,0.2564,0.0,5.9402,0.0427,41.8803,5.4915,0.641,16.1,26.4,1.01437203280104,0.0070349589987052,0.844799309451877,0.162537764350453,2317000.0,%,0.3682,20.29,0.1534,0.0,21.8932,0.3299,0.8208,0.3759,8.3615,9.3971,1.2274,1.5572,1.3194,0.4066,1.7413,0.3068,0.0,0.0,0.0384,29.71,0.0153,1.189,0.4986,16.1,26.4,1.01437203280104,0.0070349589987052,0.844799309451877,0.162537764350453,2317000.0,%
20,Brazil,0.0,24.8515,4.3627,0.0,1.1278,0.7706,0.1886,0.2528,14.292,0.0,5.1654,0.0763,1.7097,0.2528,0.008,0.1204,0.1164,0.0361,0.012,0.1766,25.1445,21.2153,0.1204,22.3,<2.5,4.46016514645063,0.108602912016316,3.97946858534927,0.372093649085038,211812000.0,%,1.4314,13.2061,1.5238,0.0,14.5913,0.4464,0.2309,1.7239,7.1571,3.7402,0.0,0.1077,0.7234,2.0317,0.0154,1.7854,0.1385,0.1847,6.326,0.077,36.8016,7.2033,0.5541,22.3,<2.5,4.46016514645063,0.108602912016316,3.97946858534927,0.372093649085038,211812000.0,%,0.2807,29.0557,0.1266,0.0,12.1671,1.1831,1.3537,0.7759,18.7486,7.0053,0.6383,0.4788,4.7326,0.022,0.864,0.6879,0.022,0.0165,0.066,20.9443,0.022,0.8089,0.0,22.3,<2.5,4.46016514645063,0.108602912016316,3.97946858534927,0.372093649085038,211812000.0,%
21,Bulgaria,0.0,27.1456,8.0274,0.0,1.8485,1.2201,0.3404,0.2723,9.3523,0.0262,7.9698,0.2356,1.6547,0.0471,0.6179,0.0367,0.1885,0.0,0.0,0.3404,22.8518,17.5787,0.2461,27.4,3.6,3.22725566623358,0.134416053125451,2.7889562581204,0.303883354987729,6927000.0,%,3.6782,12.29,2.458,0.0,17.931,0.5836,0.2829,1.7683,4.3148,4.3855,0.0884,0.2653,0.6366,0.3537,1.2202,0.9019,0.2122,0.0,4.6508,0.1415,37.7188,5.252,0.8665,27.4,3.6,3.22725566623358,0.134416053125451,2.7889562581204,0.303883354987729,6927000.0,%,0.6659,24.988,0.24,0.012,17.5666,1.6079,1.3379,0.7499,11.6331,8.7833,1.3739,0.7619,0.7859,1.6319,0.6959,0.588,0.0,0.0,0.132,25.012,0.024,1.3139,0.096,27.4,3.6,3.22725566623358,0.134416053125451,2.7889562581204,0.303883354987729,6927000.0,%
22,Burkina Faso,0.0,7.2367,0.5981,0.0,10.5524,0.4061,0.3692,0.0443,3.5741,0.0148,2.1636,0.1255,11.9406,0.5391,0.096,0.0369,0.0222,0.0,0.0,0.2658,42.7706,19.1774,0.0665,4.5,20,0.053709993780797,0.000641056307707,0.0480313830550639,0.0050375544180261,20903000.0,%,2.5188,2.7946,0.1287,0.0,31.6051,0.1471,0.2574,0.1471,1.1583,1.0112,0.0368,0.0919,3.6771,2.4269,0.0552,0.478,0.0184,0.0,1.765,0.0735,47.1962,4.2103,0.2022,4.5,20,0.053709993780797,0.000641056307707,0.0480313830550639,0.0050375544180261,20903000.0,%,1.366,7.1846,0.0066,0.0,29.1784,0.4466,1.4842,0.0591,2.975,1.7666,0.5057,5.7595,5.6019,0.0657,0.2496,0.0328,0.0,0.0,0.0854,42.8121,0.0,0.3809,0.0394,4.5,20,0.053709993780797,0.000641056307707,0.0480313830550639,0.0050375544180261,20903000.0,%
23,Cabo Verde,0.0,21.9578,4.2923,0.0,5.1318,0.8468,0.5256,0.1898,9.9204,0.1679,6.2851,0.0803,1.4819,0.4526,0.9709,0.0949,0.4161,0.0,0.0,0.1752,28.0385,18.6656,0.3066,10.6,12.6,2.5863309352518,0.0242805755395683,2.46115107913669,0.10089928057554,556000.0,%,1.2525,8.5288,1.0537,0.0,23.8171,0.338,0.3976,1.4513,3.4394,3.2207,0.4374,0.0795,0.4374,2.2068,0.497,1.8887,0.1789,0.0,3.6183,0.0596,41.4712,4.493,1.1332,10.6,12.6,2.5863309352518,0.0242805755395683,2.46115107913669,0.10089928057554,556000.0,%,0.3173,18.5332,0.0649,0.0072,20.5668,1.0024,2.3004,0.649,8.4734,6.3172,0.3678,0.3534,5.2138,0.6707,1.0673,0.2885,0.0,0.0,0.0505,31.4704,0.0361,1.6875,0.5625,10.6,12.6,2.5863309352518,0.0242805755395683,2.46115107913669,0.10089928057554,556000.0,%
24,Cambodia,0.0,18.851,0.8839,0.0,9.4179,0.5639,4.8461,0.2438,11.7799,0.1372,0.6248,0.1372,8.2902,0.2743,0.5029,0.3657,0.061,0.0762,0.0,0.3048,31.149,11.2313,0.2591,3.5,16.4,0.003058656514164,0.0,0.0029295992772794,0.0001290572368845,15497000.0,%,1.4153,4.0437,0.1011,0.0,33.0166,0.1011,1.7792,0.647,1.7792,0.2022,0.182,0.0809,1.8601,0.93,0.1415,1.6983,0.0404,0.1415,4.1852,0.0404,45.9361,1.3142,0.3639,3.5,16.4,0.003058656514164,0.0,0.0029295992772794,0.0001290572368845,15497000.0,%,0.4817,14.6494,0.0153,0.0,25.843,0.2982,10.2607,0.2982,3.2571,0.3441,0.474,4.5722,2.2173,0.1988,0.5046,0.0535,0.0153,0.0,0.0382,35.3544,0.0,0.8946,0.2294,3.5,16.4,0.003058656514164,0.0,0.0029295992772794,0.0001290572368845,15497000.0,%
25,Cameroon,0.0,6.3264,0.7838,0.0,6.9796,0.0746,0.9051,0.7931,3.3685,0.028,1.1197,0.084,9.7509,0.8491,0.7465,0.5319,0.1213,0.0,0.0,0.1026,43.6689,23.2155,0.5505,9.5,9.9,0.118031430934657,0.001782088878863,0.110914354462742,0.0053349875930521,26598000.0,%,1.5263,2.1669,0.1507,0.0,20.5201,0.0188,0.5464,3.5048,0.9987,0.4145,0.0565,0.0565,2.3931,3.5613,0.6595,8.1213,0.0377,0.0,1.6017,0.3203,47.8236,4.1455,1.3755,9.5,9.9,0.118031430934657,0.001782088878863,0.110914354462742,0.0053349875930521,26598000.0,%,0.5688,8.1066,0.0144,0.0,19.7696,0.072,3.4197,1.5119,3.4845,0.8063,0.3168,3.8301,8.9777,0.8567,3.3261,0.1008,0.0,0.0,0.3168,41.8934,0.0072,2.5414,0.0792,9.5,9.9,0.118031430934657,0.001782088878863,0.110914354462742,0.0053349875930521,26598000.0,%
26,Canada,0.0,23.1663,9.7895,0.0,1.544,1.2437,0.4244,0.4244,7.8211,0.062,3.8812,0.0065,2.36,0.1991,0.0979,0.0588,0.1795,0.0,0.0,1.211,26.8353,20.4733,0.222,31.3,<2.5,2.10996072270228,0.0542026708562451,1.90984812778214,,38190000.0,%,1.5748,12.6986,3.9656,0.0,13.0279,0.7731,0.5297,1.8182,4.796,2.6199,0.2577,0.0143,1.3171,1.5748,0.1432,1.5175,0.2434,0.0,6.199,0.587,37.2942,7.9599,1.088,31.3,<2.5,2.10996072270228,0.0542026708562451,1.90984812778214,,38190000.0,%,0.3458,25.1828,0.6868,0.0049,12.9249,2.0553,2.8755,0.6868,13.7253,5.7905,0.0445,2.416,3.7451,0.1532,1.3785,0.6374,0.0,0.0099,0.5534,24.8172,0.084,1.5909,0.2915,31.3,<2.5,2.10996072270228,0.0542026708562451,1.90984812778214,,38190000.0,%
